Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20191181322,TERRORISTIC THREAT,2704,N,04/28/2019 05:30:00 PM,04/28/2019,1730,04/28/2019 09:49:00 PM,04/28/2019,2149,STREETS / HWY / ROAD / ALLEY,800 E DEAN KEETON ST,78705,9,BA,1,348,4.01,N,05/16/2019,,,3117955,3117955,30.28929939,-97.73069443,"(30.28929939, -97.73069443)"
2019440100,DOC WINDOW PEEPING-RESIDENCE,2407,N,02/13/2019 01:35:00 AM,02/13/2019,135,02/13/2019 02:40:00 AM,02/13/2019,240,RESIDENCE / HOME,3008 CEDAR ST,78705,9,BA,1,346,5,N,03/06/2019,,,3115462,3115462,30.29547123,-97.73842938,"(30.29547123, -97.73842938)"
20195011869,THEFT,600,N,03/20/2019 08:00:00 PM,03/20/2019,2000,03/22/2019 09:18:00 AM,03/22/2019,918,RESIDENCE / HOME,3202 DUVAL ST,78705,9,BA,1,346,5,N,03/26/2019,23H,Theft,3117328,3117328,30.29486488,-97.73253157,"(30.29486488, -97.73253157)"
2019751948,DISTURBANCE - OTHER,3401,N,03/16/2019 11:18:00 PM,03/16/2019,2318,03/16/2019 11:18:00 PM,03/16/2019,2318,RESIDENCE / HOME,2216 SAN GABRIEL ST,78705,9,BA,2,358,6.04,N,03/20/2019,,,3112454,3112454,30.28694718,-97.74819132,"(30.28694718, -97.74819132)"
20201340139,CRIMINAL MISCHIEF,1400,N,05/13/2020 03:32:00 AM,05/13/2020,332,05/13/2020 03:32:00 AM,05/13/2020,332,OTHER / UNKNOWN,3501 GUADALUPE ST,78705,9,BA,1,346,5,N,05/13/2020,,,3115340,3115340,30.30138358,-97.73865711,"(30.30138358, -97.73865711)"
2019311044,THEFT,600,N,01/31/2019 03:20:00 PM,01/31/2019,1520,01/31/2019 03:37:00 PM,01/31/2019,1537,RESIDENCE / HOME,2815 RIO GRANDE ST,78705,9,BA,1,360,6.03,N,02/01/2019,23H,Theft,3113881,3113881,30.29475062,-97.74345958,"(30.29475062, -97.74345958)"
20195015826,HARASSMENT,2703,N,04/17/2019 11:30:00 PM,04/17/2019,2330,04/18/2019 03:37:00 PM,04/18/2019,1537,RESIDENCE / HOME,3115 HELMS ST,78705,9,BA,1,346,5,N,05/02/2019,,,3116368,3116368,30.29557528,-97.73555508,"(30.29557528, -97.73555508)"
20198000795,THEFT OF BICYCLE,609,N,03/08/2019 09:20:00 PM,03/08/2019,2120,03/10/2019 09:43:00 PM,03/10/2019,2143,PARKING LOTS / GARAGE,510 W 26TH ST,78705,9,BA,1,360,6.03,N,03/13/2019,23H,Theft,3114191,3114191,30.29099784,-97.7425778,"(30.29099784, -97.7425778)"
20191011059,ASSAULT  CONTACT-SEXUAL NATURE,902,N,04/11/2019 03:29:00 PM,04/11/2019,1529,04/11/2019 03:29:00 PM,04/11/2019,1529,STREETS / HWY / ROAD / ALLEY,400 BLOCK E 31ST ST,78705,9,BA,1,346,5,N,05/09/2019,,,0,0,,,
20195004272,THEFT,600,N,01/29/2019 02:30:00 PM,01/29/2019,1430,01/30/2019 03:43:00 PM,01/30/2019,1543,RESIDENCE / HOME,3200 DUVAL ST,78705,9,BA,1,346,5,N,02/01/2019,23H,Theft,3117302,3117302,30.29477034,-97.73261652,"(30.29477034, -97.73261652)"
20191250437,PUBLIC INTOXICATION,2300,N,05/05/2019 04:34:00 AM,05/05/2019,434,05/05/2019 05:23:00 AM,05/05/2019,523,STREETS / HWY / ROAD / ALLEY,2505 SAN GABRIEL ST,78705,9,BA,3,356,6.03,C,05/05/2019,,,3112675,3112675,30.29010798,-97.74740626,"(30.29010798, -97.74740626)"
20198000664,BURGLARY OF VEHICLE,601,N,02/24/2019 12:00:00 AM,02/24/2019,0,02/25/2019 02:00:00 PM,02/25/2019,1400,RESIDENCE / HOME,205 E 30TH ST,78705,9,BA,1,361,6.01,N,03/01/2019,23F,Theft,3116020,3116020,30.29322261,-97.73672134,"(30.29322261, -97.73672134)"
20191120757,RAPE,200,N,03/15/2019 09:00:00 PM,03/15/2019,2100,04/22/2019 12:44:00 PM,04/22/2019,1244,RESIDENCE / HOME,2700 BLOCK SAN PEDRO ST,78705,9,BA,3,356,6.03,N,05/17/2019,11A,Rape,0,0,,,
