Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20202000885,HARASSMENT,2703,Y,07/18/2020 02:58:00 PM,07/18/2020,1458,07/18/2020 02:58:00 PM,07/18/2020,1458,STREETS / HWY / ROAD / ALLEY,1300 W 24TH ST,78705,9,BA,3,356,,N,08/25/2020,,,3111311,3111311,30.28889213,-97.75176162,"(30.28889213, -97.75176162)"
2021411041,ASSAULT BY THREAT,901,N,02/10/2021 05:35:00 PM,02/10/2021,1735,02/10/2021 05:35:00 PM,02/10/2021,1735,RESIDENCE / HOME,2100 RIO GRANDE ST,78705,9,BA,2,358,6,N,02/11/2021,,,3113391,3113391,30.28428962,-97.74529309,"(30.28428962, -97.74529309)"
20201711404,DISTURBANCE - OTHER,3401,N,06/19/2020 09:22:00 PM,06/19/2020,2122,06/19/2020 09:22:00 PM,06/19/2020,2122,STREETS / HWY / ROAD / ALLEY,3000 BLOCK N LAMAR BLVD,78705,10,BA,3,344,,N,06/26/2020,,,3112761,3112761,30.29931389,-97.74688701,"(30.29931389, -97.74688701)"
202051011,AUTO THEFT,700,N,01/05/2020 03:56:00 PM,01/05/2020,1556,01/05/2020 06:41:00 PM,01/05/2020,1841,GAS / SERVICE STATIONS,1910 ROBBINS PL,78705,9,BA,2,358,,C,02/21/2020,240,Auto Theft,3112022,3112022,30.28476745,-97.74961873,"(30.28476745, -97.74961873)"
20203281378,DWI,2100,N,11/23/2020 11:19:00 PM,11/23/2020,2319,11/23/2020 11:19:00 PM,11/23/2020,2319,STREETS / HWY / ROAD / ALLEY,HEMPHILL PARK / GUADALUPE ST,78705,9,BA,1,361,,C,11/24/2020,,,3114628,3114628,30.2921766,-97.74116117,"(30.2921766, -97.74116117)"
20201851459,HARASSMENT,2703,Y,07/03/2020 09:00:00 PM,07/03/2020,2100,07/03/2020 09:00:00 PM,07/03/2020,2100,STREETS / HWY / ROAD / ALLEY,3704 N IH 35 SVRD SB,78705,9,BA,1,348,4,N,07/07/2020,,,3121103,3121103,30.29425332,-97.72058359,"(30.29425332, -97.72058359)"
20215002939,THEFT,600,N,01/21/2021 08:00:00 PM,01/21/2021,2000,01/21/2021 08:26:00 PM,01/21/2021,2026,RESIDENCE / HOME,1105 W 22ND HALF ST,78705,9,BA,2,358,6,N,01/22/2021,23H,Theft,3111876,3111876,30.28632438,-97.75003975,"(30.28632438, -97.75003975)"
20201281058,HARASSMENT,2703,Y,05/07/2020 05:30:00 PM,05/07/2020,1730,05/07/2020 09:54:00 PM,05/07/2020,2154,PARKING LOTS / GARAGE,3705 MEDICAL PKWY,78705,10,BA,3,344,,,,,,3113604,3113604,30.3051865,-97.74405753,"(30.3051865, -97.74405753)"
20205023800,FORGERY AND PASSING,1000,N,01/31/2020 12:00:00 PM,01/31/2020,1200,06/19/2020 08:47:00 AM,06/19/2020,847,OTHER / UNKNOWN,2222 RIO GRANDE ST,78705,9,BA,2,358,,N,06/22/2020,,,3113456,3113456,30.28685014,-97.74501844,"(30.28685014, -97.74501844)"
2021860572,SUSPICIOUS PERSON,3403,N,03/27/2021 03:15:00 AM,03/27/2021,315,03/27/2021 10:10:00 AM,03/27/2021,1010,STREETS / HWY / ROAD / ALLEY,2500 SAN GABRIEL ST,78705,9,BA,3,356,6,,,,,3112547,3112547,30.28958564,-97.74782591,"(30.28958564, -97.74782591)"
2021510238,FAMILY DISTURBANCE,3400,N,02/20/2021 05:08:00 AM,02/20/2021,508,02/20/2021 05:08:00 AM,02/20/2021,508,RESIDENCE / HOME,1907 RIO GRANDE ST,78705,9,BA,1,359,6,,,,,3113546,3113546,30.28339183,-97.74482596,"(30.28339183, -97.74482596)"
20203400822,DATING DISTURBANCE,2400,N,12/05/2020 04:32:00 PM,12/05/2020,1632,12/05/2020 04:32:00 PM,12/05/2020,1632,RESIDENCE / HOME,3400 HARMON AVE,78705,9,BA,1,348,,,,,,3120434,3120434,30.29246578,-97.72275227,"(30.29246578, -97.72275227)"
2020180353,DATING DISTURBANCE,2400,N,01/18/2020 05:48:00 AM,01/18/2020,548,01/18/2020 05:48:00 AM,01/18/2020,548,RESIDENCE / HOME,3301 SPEEDWAY,78705,9,BA,1,346,,,,,,3116494,3116494,30.29749138,-97.73510415,"(30.29749138, -97.73510415)"
20208004723,BURGLARY OF VEHICLE,601,N,10/04/2020 06:00:00 PM,10/04/2020,1800,10/06/2020 01:40:00 PM,10/06/2020,1340,PARKING LOTS / GARAGE,709 W 22ND ST,78705,9,BA,2,358,,N,10/07/2020,23F,Theft,3113171,3113171,30.2849854,-97.74597163,"(30.2849854, -97.74597163)"
20211071185,PUBLIC INTOXICATION,2300,N,04/17/2021 06:31:00 PM,04/17/2021,1831,04/17/2021 06:31:00 PM,04/17/2021,1831,STREETS / HWY / ROAD / ALLEY,2700 RIO GRANDE ST,78705,9,BA,3,356,6,C,04/20/2021,,,3113616,3113616,30.29207096,-97.74437135,"(30.29207096, -97.74437135)"
20215000828,BURGLARY OF VEHICLE,601,N,01/06/2021 02:30:00 PM,01/06/2021,1430,01/06/2021 08:14:00 PM,01/06/2021,2014,OTHER / UNKNOWN,1101 W 34TH ST,78705,10,BA,3,344,2,N,01/07/2021,23F,Theft,3113002,3113002,30.30306441,-97.74602261,"(30.30306441, -97.74602261)"
20205002418,THEFT,600,N,01/15/2020 08:27:00 PM,01/15/2020,2027,01/17/2020 08:27:00 PM,01/17/2020,2027,COMMERCIAL / OFFICE BUILDING,3705 MEDICAL PKWY,78705,10,BA,3,344,,N,01/20/2020,23H,Theft,3113604,3113604,30.3051865,-97.74405753,"(30.3051865, -97.74405753)"
20203500091,AGG ASLT STRANGLE/SUFFOCATE,410,Y,12/14/2020 08:00:00 PM,12/14/2020,2000,12/15/2020 03:14:00 AM,12/15/2020,314,RESIDENCE / HOME,1906 SAN GABRIEL ST,78705,9,BA,2,358,6,C,12/15/2020,13A,Aggravated Assault,3112364,3112364,30.28424257,-97.74854897,"(30.28424257, -97.74854897)"
